nomor,kategori,nama,harga_final,harga_awal,rating,diskon,review
1,Siap Minum,Aquviva 700 ml - 108023,Rp 1.911,Rp 1.911,0.0,0,0
2,Cemilan & Permen,Mr Pota Sour Cream&Onion 106 gr - 110107,Rp 13.087,Rp 18.087,0.0,28,0
3,Siap Minum,Milo Rtd Calcium 220 ml - 042717,Rp 8.650,Rp 8.650,0.0,0,0
4,Siap Minum,Milo Rtd Original 240 ml - 022412,Rp 8.650,Rp 8.650,0.0,0,0
5,Makanan Instan,Wow Spageti Oglio Olio 75 gr - 017333,Rp 2.900,Rp 3.298,1.0,12,1
6,Cemilan & Permen,Yupi Gumy Mango Kiss 111 gr - 012428,Rp 9.680,Rp 9.680,0.0,0,0
7,Biskuit,Serena Cheese Cookies 150 gr - 040059,Rp 15.395,Rp 15.395,0.0,0,0
8,Sarapan,Ceres Meses Dark Chocolate - 75 gr - 007558,Rp 9.840,Rp 9.840,0.0,0,0
9,Detergen Bubuk,Total Det Perfume Oriental Bloom 700 Gr - 100172,Rp 17.429,Rp 23.238,1.0,25,1
10,Susu,Diamond Milk Ckelat 200 ml - 042101,Rp 4.554,Rp 4.554,0.0,0,0
11,Makanan Instan,Arirang Mi Bolognese Ramyun - 017214,Rp 14.612,Rp 14.612,0.0,0,0
12,"Pengharum Ruangan, Mobil & Toilet",Dahlia k-313 Toilet Ball Original - 104717,Rp 13.814,Rp 13.814,0.0,0,0
13,"Pengharum Ruangan, Mobil & Toilet",Stella Matic Premium Coffe Latte 160 ml - 104053,Rp 33.960,Rp 33.960,0.0,0,0
14,Sanitary Napkin,Hers Protex Night 20's - 077345,Rp 13.208,Rp 13.208,1.0,0,1
15,Kosmetik,VIVA-Face Tonic 100M CUCUMBER-131032,Rp 5.950,Rp 5.950,0.0,0,0
16,Kosmetik,VIVA-MILK CLN CUCUMBER-130089,Rp 5.336,Rp 6.415,0.0,17,0
17,Cemilan & Permen,Yupi Gumy Strawberry Kiss 45gr - 012833,Rp 4.290,Rp 4.290,1.0,0,1
18,Biskuit,Walens Waffle Duluxe 30gr - 010817,Rp 1.676,Rp 1.676,1.0,0,1
19,Instan,Anlene Gpld 240 g Plain ( Original ) - 003199,Rp 47.869,Rp 47.869,1.0,0,1
20,Siap Minum,Teh Jawa Cup 180 ml/CR - 151229,Rp 25.550,Rp 25.550,0.0,0,0
21,Cemilan & Permen,Lemonilo Bronis Krispi Strawberry Keju 35gr - 110154,Rp 10.168,Rp 10.703,0.0,5,0
22,Cemilan & Permen,Fox-Tin 170G Berries,Rp 20.844,Rp 20.844,0.0,0,0
23,Bahan Pokok,Beras Lesung Padi 5 Kg - 029099,Rp 76.316,Rp 76.316,2.0,0,2
